Title,Date,Type,Country,Report No,PDF Link
Headline Messages 2021 : Climate Afflictions,2021-10-10T04:00:00Z,Brief,Bangladesh,164996,http://documents.worldbank.org/curated/en/285181634012644682/pdf/Headline-Messages-2021-Climate-Afflictions.pdf
Implementation Completion and Results Report (ICR) Document -  Preparation of Strategic Program for Climate Resilience - P159600,2021-10-27T04:00:00Z,Implementation Completion and Results Report,"Bhutan,World",ICR00005590,http://documents.worldbank.org/curated/en/647811635342538198/pdf/Implementation-Completion-and-Results-Report-ICR-Document-Preparation-of-Strategic-Program-for-Climate-Resilience-P159600.pdf
Climate Change Institutional Assessment,2021-04-01T04:00:00Z,Brief,World,158121,http://documents.worldbank.org/curated/en/596001618377875403/pdf/Climate-Change-Institutional-Assessment.pdf
Sri Lanka - SOUTH ASIA- P160552-  Climate Mitigation Action Support - Procurement Plan,2021-01-12T05:00:00Z,Procurement Plan,Sri Lanka,STEP43474,http://documents.worldbank.org/curated/en/210671610458988271/pdf/Sri-Lanka-SOUTH-ASIA-P160552-Climate-Mitigation-Action-Support-Procurement-Plan.pdf
Bhutan - SOUTH ASIA- P159600-  Preparation of Strategic Program for Climate Resilience - Procurement Plan,2021-02-19T05:00:00Z,Procurement Plan,Bhutan,STEP45317,http://documents.worldbank.org/curated/en/782651613748810599/pdf/Bhutan-SOUTH-ASIA-P159600-Preparation-of-Strategic-Program-for-Climate-Resilience-Procurement-Plan.pdf
Sri Lanka - SOUTH ASIA- P160552-  Climate Mitigation Action Support - Procurement Plan,2021-02-18T05:00:00Z,Procurement Plan,Sri Lanka,STEP45249,http://documents.worldbank.org/curated/en/145641613652772511/pdf/Sri-Lanka-SOUTH-ASIA-P160552-Climate-Mitigation-Action-Support-Procurement-Plan.pdf
Sri Lanka - SOUTH ASIA- P160552-  Climate Mitigation Action Support - Procurement Plan,2021-01-21T05:00:00Z,Procurement Plan,Sri Lanka,STEP43931,http://documents.worldbank.org/curated/en/765071611234396994/pdf/Sri-Lanka-SOUTH-ASIA-P160552-Climate-Mitigation-Action-Support-Procurement-Plan.pdf
Climate Afflictions,2021-10-01T04:00:00Z,Publication,World,164924,http://documents.worldbank.org/curated/en/739621633671881889/pdf/Climate-Afflictions.pdf
Bhutan - SOUTH ASIA- P159600-  Preparation of Strategic Program for Climate Resilience - Procurement Plan,2021-02-03T05:00:00Z,Procurement Plan,Bhutan,STEP44529,http://documents.worldbank.org/curated/en/519031612364433038/pdf/Bhutan-SOUTH-ASIA-P159600-Preparation-of-Strategic-Program-for-Climate-Resilience-Procurement-Plan.pdf
Sri Lanka - SOUTH ASIA- P160005- Climate Resilience Multi-Phase Programmatic Approach - Procurement Plan,2021-09-29T04:00:00Z,Procurement Plan,Sri Lanka,STEP54973,http://documents.worldbank.org/curated/en/467861632927332664/pdf/Sri-Lanka-SOUTH-ASIA-P160005-Climate-Resilience-Multi-Phase-Programmatic-Approach-Procurement-Plan.pdf
,,,,,
